User country,Nr. reviews,Nr. hotel reviews,Helpful votes,Score,Period of stay,Traveler type,Pool,Gym,Tennis court,Spa,Casino,Free internet,Hotel name,Hotel stars,Nr. rooms,User continent,Member years,Review month,Review weekday
USA,35.0,8.0,19.0,4.0,Sep-Nov,Families,YES,YES,NO,YES,YES,YES,Excalibur Hotel & Casino,3.0,3981.0,North America,6.0,November,Sunday
UK,6.0,0.0,4.0,4.0,Sep-Nov,Friends,YES,YES,NO,YES,YES,YES,Excalibur Hotel & Casino,3.0,3981.0,Europe,1.0,November,Sunday
UK,74.0,47.0,54.0,4.0,Dec-Feb,Couples,YES,YES,NO,YES,YES,YES,Excalibur Hotel & Casino,3.0,3981.0,Europe,7.0,December,Wednesday
Syria,34.0,8.0,30.0,3.0,Dec-Feb,Solo,YES,YES,NO,YES,YES,YES,Excalibur Hotel & Casino,3.0,3981.0,Asia,4.0,December,Tuesday
UK,576.0,43.0,340.0,3.0,Dec-Feb,Couples,YES,YES,NO,YES,YES,NO,Monte Carlo Resort&Casino,4.0,3003.0,Europe,3.0,January,Monday
USA,20.0,8.0,11.0,4.0,Dec-Feb,Solo,YES,YES,NO,YES,YES,NO,Monte Carlo Resort&Casino,4.0,3003.0,North America,5.0,January,Saturday
USA,418.0,32.0,132.0,2.0,Dec-Feb,Couples,YES,YES,NO,YES,YES,NO,Monte Carlo Resort&Casino,4.0,3003.0,North America,3.0,February,Tuesday
USA,73.0,13.0,22.0,4.0,Dec-Feb,Couples,YES,YES,NO,YES,YES,NO,Monte Carlo Resort&Casino,4.0,3003.0,North America,2.0,February,Tuesday
Canada,30.0,10.0,32.0,3.0,Mar-May,Couples,YES,YES,NO,YES,YES,NO,Monte Carlo Resort&Casino,4.0,3003.0,North America,2.0,March,Wednesday
USA,63.0,15.0,17.0,4.0,Mar-May,Business,YES,YES,NO,YES,YES,NO,Monte Carlo Resort&Casino,4.0,3003.0,North America,2.0,March,Tuesday
Scotland,24.0,10.0,13.0,5.0,Mar-May,Couples,YES,YES,NO,YES,YES,NO,Monte Carlo Resort&Casino,4.0,3003.0,Europe,5.0,April,Wednesday
Australia,20.0,7.0,11.0,4.0,Mar-May,Couples,YES,YES,NO,YES,YES,NO,Monte Carlo Resort&Casino,4.0,3003.0,Oceania,2.0,May,Friday
Ireland,7.0,5.0,7.0,4.0,Jun-Aug,Couples,YES,YES,NO,YES,YES,NO,Monte Carlo Resort&Casino,4.0,3003.0,Europe,9.0,June,Tuesday
Canada,13.0,9.0,15.0,4.0,Jun-Aug,Friends,YES,YES,NO,YES,YES,NO,Monte Carlo Resort&Casino,4.0,3003.0,North America,1.0,June,Monday
UK,10.0,5.0,4.0,4.0,Jun-Aug,Families,YES,YES,NO,YES,YES,NO,Monte Carlo Resort&Casino,4.0,3003.0,Europe,1.0,July,Friday
New Zeland,9.0,6.0,19.0,3.0,Jun-Aug,Couples,YES,YES,NO,YES,YES,NO,Monte Carlo Resort&Casino,4.0,3003.0,Oceania,7.0,July,Wednesday
Switzerland,36.0,19.0,36.0,2.0,Jun-Aug,Solo,YES,YES,NO,YES,YES,NO,Monte Carlo Resort&Casino,4.0,3003.0,Europe,5.0,August,Thursday
UK,33.0,12.0,19.0,3.0,Jun-Aug,Families,YES,YES,NO,YES,YES,NO,Monte Carlo Resort&Casino,4.0,3003.0,Europe,5.0,August,Saturday
United Arab Emirates,156.0,126.0,142.0,3.0,Sep-Nov,Friends,YES,YES,NO,YES,YES,NO,Monte Carlo Resort&Casino,4.0,3003.0,Asia,8.0,September,Friday
Ireland,19.0,17.0,16.0,4.0,Sep-Nov,Couples,YES,YES,NO,YES,YES,NO,Monte Carlo Resort&Casino,4.0,3003.0,Europe,5.0,September,Wednesday
Hungary,8.0,5.0,8.0,4.0,Sep-Nov,Couples,YES,YES,NO,YES,YES,NO,Monte Carlo Resort&Casino,4.0,3003.0,Europe,8.0,November,Friday
China,1.0,0.0,2.0,1.0,Sep-Nov,Business,YES,YES,NO,YES,YES,NO,Monte Carlo Resort&Casino,4.0,3003.0,Asia,0.0,November,Wednesday
Greece,21.0,18.0,6.0,2.0,Dec-Feb,Business,YES,YES,NO,YES,YES,NO,Monte Carlo Resort&Casino,4.0,3003.0,Europe,0.0,December,Sunday
Mexico,56.0,14.0,36.0,5.0,Dec-Feb,Couples,YES,YES,NO,YES,YES,NO,Monte Carlo Resort&Casino,4.0,3003.0,North America,3.0,December,Monday
Croatia,29.0,11.0,14.0,3.0,Dec-Feb,Business,YES,YES,YES,YES,YES,YES,Treasure Island- TI Hotel & Casino,4.0,2884.0,Europe,6.0,January,Sunday
Australia,11.0,5.0,8.0,4.0,Dec-Feb,Couples,YES,YES,YES,YES,YES,YES,Treasure Island- TI Hotel & Casino,4.0,2884.0,Oceania,1.0,January,Thursday
Canada,19.0,12.0,167.0,4.0,Dec-Feb,Friends,YES,YES,YES,YES,YES,YES,Treasure Island- TI Hotel & Casino,4.0,2884.0,North America,9.0,February,Monday
USA,43.0,8.0,20.0,4.0,Mar-May,Couples,YES,YES,YES,YES,YES,YES,Treasure Island- TI Hotel & Casino,4.0,2884.0,North America,1.0,March,Friday
Canada,12.0,8.0,3.0,4.0,Mar-May,Friends,YES,YES,YES,YES,YES,YES,Treasure Island- TI Hotel & Casino,4.0,2884.0,North America,2.0,March,Saturday
USA,15.0,14.0,7.0,4.0,Mar-May,Friends,YES,YES,YES,YES,YES,YES,Treasure Island- TI Hotel & Casino,4.0,2884.0,North America,9.0,April,Tuesday
Australia,16.0,13.0,16.0,3.0,Mar-May,Families,YES,YES,YES,YES,YES,YES,Treasure Island- TI Hotel & Casino,4.0,2884.0,Oceania,6.0,April,Wednesday
Germany,10.0,0.0,5.0,4.0,Mar-May,Friends,YES,YES,YES,YES,YES,YES,Treasure Island- TI Hotel & Casino,4.0,2884.0,Europe,3.0,May,Sunday
USA,27.0,17.0,16.0,3.0,Jun-Aug,Families,YES,YES,YES,YES,YES,YES,Treasure Island- TI Hotel & Casino,4.0,2884.0,North America,6.0,June,Thursday
Canada,6.0,5.0,5.0,4.0,Jun-Aug,Couples,YES,YES,YES,YES,YES,YES,Treasure Island- TI Hotel & Casino,4.0,2884.0,North America,2.0,June,Tuesday
Malaysia,43.0,14.0,27.0,4.0,Jun-Aug,Solo,YES,YES,YES,YES,YES,YES,Treasure Island- TI Hotel & Casino,4.0,2884.0,Asia,5.0,July,Thursday
Mexico,97.0,31.0,37.0,4.0,Jun-Aug,Couples,YES,YES,YES,YES,YES,YES,Treasure Island- TI Hotel & Casino,4.0,2884.0,South America,8.0,August,Saturday
UK,7.0,3.0,4.0,4.0,Jun-Aug,Couples,YES,YES,YES,YES,YES,YES,Treasure Island- TI Hotel & Casino,4.0,2884.0,Europe,5.0,August,Friday
UK,11.0,9.0,6.0,3.0,Sep-Nov,Couples,YES,YES,YES,YES,YES,YES,Treasure Island- TI Hotel & Casino,4.0,2884.0,Europe,0.0,September,Friday
USA,78.0,11.0,30.0,4.0,Sep-Nov,Business,YES,YES,YES,YES,YES,YES,Treasure Island- TI Hotel & Casino,4.0,2884.0,North America,2.0,September,Tuesday
Australia,12.0,7.0,4.0,5.0,Sep-Nov,Families,YES,YES,YES,YES,YES,YES,Treasure Island- TI Hotel & Casino,4.0,2884.0,Oceania,5.0,October,Monday
USA,27.0,11.0,5.0,3.0,Sep-Nov,Couples,YES,YES,YES,YES,YES,YES,Treasure Island- TI Hotel & Casino,4.0,2884.0,North America,2.0,October,Monday
Thailand,4.0,3.0,1.0,5.0,Sep-Nov,Couples,YES,YES,YES,YES,YES,YES,Treasure Island- TI Hotel & Casino,4.0,2884.0,Asia,7.0,November,Friday
Australia,27.0,9.0,8.0,4.0,Sep-Nov,Families,YES,YES,YES,YES,YES,YES,Treasure Island- TI Hotel & Casino,4.0,2884.0,Oceania,2.0,November,Friday
Canada,12.0,3.0,7.0,4.0,Dec-Feb,Friends,YES,YES,YES,YES,YES,YES,Treasure Island- TI Hotel & Casino,4.0,2884.0,North America,4.0,December,Saturday
Canada,21.0,16.0,48.0,5.0,Dec-Feb,Couples,YES,YES,YES,YES,YES,YES,Treasure Island- TI Hotel & Casino,4.0,2884.0,North America,12.0,December,Thursday
UK,34.0,17.0,30.0,4.0,Dec-Feb,Families,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4.0,1467.0,Europe,8.0,January,Sunday
Phillippines,79.0,39.0,51.0,3.0,Dec-Feb,Couples,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4.0,1467.0,Asia,5.0,February,Wednesday
Israel,18.0,10.0,16.0,3.0,Dec-Feb,Business,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4.0,1467.0,Asia,2.0,February,Thursday
UK,14.0,4.0,9.0,4.0,Mar-May,Couples,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4.0,1467.0,Europe,1.0,March,Friday
Ireland,19.0,9.0,28.0,5.0,Mar-May,Couples,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4.0,1467.0,Europe,3.0,April,Friday
India,88.0,15.0,103.0,4.0,Mar-May,Business,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4.0,1467.0,Asia,3.0,April,Monday
New Zeland,8.0,4.0,0.0,4.0,Mar-May,Couples,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4.0,1467.0,Oceania,1.0,May,Tuesday
Belgium,39.0,15.0,31.0,3.0,Mar-May,Friends,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4.0,1467.0,Europe,1.0,May,Sunday
UK,130.0,41.0,61.0,4.0,Jun-Aug,Business,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4.0,1467.0,Europe,3.0,June,Tuesday
Australia,79.0,78.0,105.0,4.0,Jun-Aug,Friends,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4.0,1467.0,Oceania,7.0,June,Wednesday
UK,18.0,6.0,17.0,4.0,Jun-Aug,Couples,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4.0,1467.0,Europe,1.0,July,Monday
New Zeland,8.0,7.0,3.0,5.0,Jun-Aug,Friends,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4.0,1467.0,Oceania,1.0,August,Saturday
Australia,15.0,4.0,6.0,5.0,Jun-Aug,Couples,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4.0,1467.0,Oceania,0.0,August,Friday
Canada,27.0,0.0,9.0,1.0,Sep-Nov,Couples,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4.0,1467.0,North America,0.0,September,Tuesday
Australia,5.0,3.0,2.0,5.0,Sep-Nov,Couples,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4.0,1467.0,Oceania,5.0,September,Wednesday
UK,22.0,6.0,6.0,5.0,Sep-Nov,Friends,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4.0,1467.0,Europe,1.0,October,Tuesday
USA,5.0,3.0,11.0,2.0,Sep-Nov,Friends,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4.0,1467.0,North America,1.0,October,Thursday
India,31.0,8.0,11.0,4.0,Sep-Nov,Solo,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4.0,1467.0,Asia,1.0,November,Sunday
UK,10.0,6.0,11.0,5.0,Dec-Feb,Couples,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4.0,1467.0,Europe,4.0,December,Saturday
UK,12.0,3.0,3.0,5.0,Dec-Feb,Families,YES,YES,YES,YES,YES,YES,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4.0,1467.0,Europe,4.0,December,Thursday
USA,50.0,14.0,24.0,5.0,Dec-Feb,Friends,YES,YES,NO,YES,YES,YES,Caesars Palace,5.0,3348.0,North America,7.0,January,Wednesday
USA,161.0,33.0,85.0,4.0,Dec-Feb,Couples,YES,YES,NO,YES,YES,YES,Caesars Palace,5.0,3348.0,North America,3.0,January,Friday
Puerto Rico,153.0,38.0,81.0,5.0,Dec-Feb,Families,YES,YES,NO,YES,YES,YES,Caesars Palace,5.0,3348.0,North America,10.0,February,Tuesday
Canada,14.0,3.0,12.0,5.0,Dec-Feb,Families,YES,YES,NO,YES,YES,YES,Caesars Palace,5.0,3348.0,North America,2.0,February,Thursday
USA,31.0,12.0,10.0,5.0,Mar-May,Families,YES,YES,NO,YES,YES,YES,Caesars Palace,5.0,3348.0,North America,4.0,March,Friday
USA,15.0,10.0,29.0,3.0,Mar-May,Families,YES,YES,NO,YES,YES,YES,Caesars Palace,5.0,3348.0,North America,9.0,March,Friday
USA,46.0,4.0,21.0,4.0,Mar-May,Couples,YES,YES,NO,YES,YES,YES,Caesars Palace,5.0,3348.0,North America,2.0,April,Saturday
UK,15.0,6.0,39.0,1.0,Mar-May,Couples,YES,YES,NO,YES,YES,YES,Caesars Palace,5.0,3348.0,Europe,4.0,May,Sunday
UK,63.0,27.0,35.0,4.0,Mar-May,Couples,YES,YES,NO,YES,YES,YES,Caesars Palace,5.0,3348.0,Europe,5.0,May,Wednesday
USA,17.0,15.0,13.0,4.0,Jun-Aug,Couples,YES,YES,NO,YES,YES,YES,Caesars Palace,5.0,3348.0,North America,2.0,June,Sunday
USA,25.0,22.0,36.0,1.0,Jun-Aug,Solo,YES,YES,NO,YES,YES,YES,Caesars Palace,5.0,3348.0,North America,9.0,June,Tuesday
USA,14.0,8.0,4.0,5.0,Jun-Aug,Couples,YES,YES,NO,YES,YES,YES,Caesars Palace,5.0,3348.0,North America,1.0,July,Monday
UK,59.0,56.0,37.0,3.0,Jun-Aug,Families,YES,YES,NO,YES,YES,YES,Caesars Palace,5.0,3348.0,Europe,6.0,July,Tuesday
UK,11.0,10.0,17.0,5.0,Jun-Aug,Families,YES,YES,NO,YES,YES,YES,Caesars Palace,5.0,3348.0,Europe,3.0,August,Friday
Canada,54.0,18.0,31.0,4.0,Jun-Aug,Friends,YES,YES,NO,YES,YES,YES,Caesars Palace,5.0,3348.0,North America,5.0,August,Wednesday
USA,4.0,3.0,4.0,5.0,Sep-Nov,Couples,YES,YES,NO,YES,YES,YES,Caesars Palace,5.0,3348.0,North America,3.0,September,Monday
USA,10.0,7.0,7.0,5.0,Sep-Nov,Couples,YES,YES,NO,YES,YES,YES,Caesars Palace,5.0,3348.0,North America,3.0,September,Tuesday
USA,14.0,6.0,7.0,5.0,Sep-Nov,Business,YES,YES,NO,YES,YES,YES,Caesars Palace,5.0,3348.0,North America,11.0,October,Sunday
USA,39.0,12.0,16.0,5.0,Sep-Nov,Friends,YES,YES,NO,YES,YES,YES,Caesars Palace,5.0,3348.0,North America,2.0,October,Thursday
Australia,35.0,24.0,43.0,5.0,Sep-Nov,Couples,YES,YES,NO,YES,YES,YES,Caesars Palace,5.0,3348.0,Oceania,4.0,November,Sunday
Australia,6.0,6.0,9.0,3.0,Sep-Nov,Families,YES,YES,NO,YES,YES,YES,Caesars Palace,5.0,3348.0,Oceania,0.0,November,Sunday
USA,23.0,7.0,2.0,4.0,Dec-Feb,Families,YES,YES,NO,YES,YES,YES,Caesars Palace,5.0,3348.0,North America,3.0,December,Friday
USA,48.0,21.0,67.0,4.0,Dec-Feb,Couples,YES,YES,NO,YES,YES,YES,Caesars Palace,5.0,3348.0,North America,13.0,December,Sunday
Australia,16.0,9.0,14.0,4.0,Dec-Feb,Friends,YES,YES,NO,YES,YES,YES,The Cosmopolitan Las Vegas,5.0,2959.0,Oceania,3.0,January,Thursday
Australia,12.0,6.0,3.0,5.0,Dec-Feb,Friends,YES,YES,NO,YES,YES,YES,The Cosmopolitan Las Vegas,5.0,2959.0,Oceania,1.0,January,Thursday
Switzerland,36.0,9.0,15.0,4.0,Dec-Feb,Friends,YES,YES,NO,YES,YES,YES,The Cosmopolitan Las Vegas,5.0,2959.0,Europe,2.0,February,Saturday
UK,127.0,40.0,80.0,5.0,Dec-Feb,Couples,YES,YES,NO,YES,YES,YES,The Cosmopolitan Las Vegas,5.0,2959.0,Europe,8.0,February,Wednesday
USA,12.0,5.0,1.0,5.0,Mar-May,Couples,YES,YES,NO,YES,YES,YES,The Cosmopolitan Las Vegas,5.0,2959.0,North America,1.0,March,Monday
USA,17.0,17.0,74.0,5.0,Mar-May,Couples,YES,YES,NO,YES,YES,YES,The Cosmopolitan Las Vegas,5.0,2959.0,North America,10.0,March,Saturday
Ireland,23.0,7.0,21.0,4.0,Mar-May,Friends,YES,YES,NO,YES,YES,YES,The Cosmopolitan Las Vegas,5.0,2959.0,Europe,7.0,April,Thursday
Germany,113.0,15.0,55.0,5.0,Mar-May,Families,YES,YES,NO,YES,YES,YES,The Cosmopolitan Las Vegas,5.0,2959.0,Europe,8.0,May,Thursday
USA,30.0,8.0,10.0,2.0,Mar-May,Business,YES,YES,NO,YES,YES,YES,The Cosmopolitan Las Vegas,5.0,2959.0,North America,1.0,May,Wednesday
Germany,24.0,24.0,24.0,2.0,Jun-Aug,Couples,YES,YES,NO,YES,YES,YES,The Cosmopolitan Las Vegas,5.0,2959.0,Europe,7.0,June,Wednesday
Ireland,15.0,5.0,18.0,5.0,Jun-Aug,Friends,YES,YES,NO,YES,YES,YES,The Cosmopolitan Las Vegas,5.0,2959.0,Europe,3.0,June,Wednesday
USA,6.0,4.0,14.0,1.0,Jun-Aug,Business,YES,YES,NO,YES,YES,YES,The Cosmopolitan Las Vegas,5.0,2959.0,North America,1.0,July,Wednesday
Australia,3.0,3.0,0.0,4.0,Jun-Aug,Friends,YES,YES,NO,YES,YES,YES,The Cosmopolitan Las Vegas,5.0,2959.0,Oceania,7.0,July,Tuesday
Canada,41.0,10.0,56.0,5.0,Jun-Aug,Families,YES,YES,NO,YES,YES,YES,The Cosmopolitan Las Vegas,5.0,2959.0,North America,4.0,August,Saturday
USA,19.0,8.0,56.0,4.0,Jun-Aug,Couples,YES,YES,NO,YES,YES,YES,The Cosmopolitan Las Vegas,5.0,2959.0,North America,10.0,August,Sunday
UK,18.0,9.0,10.0,5.0,Sep-Nov,Couples,YES,YES,NO,YES,YES,YES,The Cosmopolitan Las Vegas,5.0,2959.0,Europe,1.0,September,Wednesday
Norway,6.0,6.0,7.0,5.0,Sep-Nov,Couples,YES,YES,NO,YES,YES,YES,The Cosmopolitan Las Vegas,5.0,2959.0,Europe,7.0,September,Tuesday
USA,103.0,5.0,98.0,5.0,Sep-Nov,Couples,YES,YES,NO,YES,YES,YES,The Cosmopolitan Las Vegas,5.0,2959.0,North America,7.0,October,Monday
UK,18.0,4.0,16.0,5.0,Sep-Nov,Friends,YES,YES,NO,YES,YES,YES,The Cosmopolitan Las Vegas,5.0,2959.0,Europe,0.0,October,Friday
Egypt,9.0,7.0,7.0,5.0,Sep-Nov,Business,YES,YES,NO,YES,YES,YES,The Cosmopolitan Las Vegas,5.0,2959.0,Africa,5.0,November,Wednesday
USA,50.0,19.0,45.0,5.0,Sep-Nov,Business,YES,YES,NO,YES,YES,YES,The Cosmopolitan Las Vegas,5.0,2959.0,North America,0.0,November,Friday
Canada,4.0,3.0,8.0,2.0,Dec-Feb,Couples,YES,YES,NO,YES,YES,YES,The Cosmopolitan Las Vegas,5.0,2959.0,North America,8.0,December,Tuesday
Mexico,28.0,23.0,31.0,3.0,Dec-Feb,Couples,YES,YES,NO,YES,YES,YES,The Palazzo Resort Hotel Casino,5.0,3025.0,North America,4.0,January,Friday
USA,32.0,6.0,11.0,5.0,Dec-Feb,Families,YES,YES,NO,YES,YES,YES,The Palazzo Resort Hotel Casino,5.0,3025.0,North America,10.0,January,Friday
Canada,4.0,0.0,4.0,5.0,Dec-Feb,Couples,YES,YES,NO,YES,YES,YES,The Palazzo Resort Hotel Casino,5.0,3025.0,North America,9.0,February,Friday
